UserID,recording_date,day_name,month_name,day_of_month,day_of_recording,year,duration,duration_buckets,age_category,Channel2,converted_recording_time,Name,Surname,Gender,Race,Age,Province,Email,Social_Media_Handle
28115,1/30/2016 5:18,Sat,Jan,30,Weekday,2016,1899-12-31T00:01:16.000Z,Morning,Adult,SuperSport Blitz,1899-12-31T02:01:16.000Z,Valentine,Sieren,Male,black,44,Limpopo,Valentine 472@gmail.com,@Valentine 47
28240,3/20/2016 15:30,Sun,Mar,20,Weekday,2016,1899-12-31T00:00:47.000Z,Morning,Adult,Cartoon Network,1899-12-31T02:00:47.000Z,Michel,Deblois,Male,None,40,Gauteng,Michel 203@mail.com,@Michel 20
31162,3/19/2016 17:19,Sat,Mar,19,Weekday,2016,1899-12-31T00:09:36.000Z,Morning,null,Supersport Live Events,1899-12-31T02:09:36.000Z,None,None,Not Specified,None,0,None,Mellie 505@mailxyz.com,None
33103,1/6/2016 03:41,Wed,Jan,6,Weekday,2016,1899-12-31T00:03:08.000Z,Morning,Youth,E! Entertainment,1899-12-31T02:03:08.000Z,Kip,Nicholls,Male,coloured,26,Gauteng,Kip 145@mailxyz.com,@Kip 14
33773,3/12/2016 08:50,Sat,Mar,12,Weekday,2016,1899-12-31T00:00:08.000Z,Morning,null,ICC Cricket World Cup 2011,1899-12-31T02:00:08.000Z,None,None,Not Specified,None,0,None,Torrie 294@abcmail.com,None
36057,3/29/2016 9:11,Tue,Mar,29,Weekday,2016,1899-12-31T00:04:00.000Z,Morning,Middle_Aged,Africa Magic,1899-12-31T02:04:00.000Z,Efren,Styer,Male,black,50,Eastern Cape,Efren 131@yahoo.com,@Efren 13
39353,1/5/2016 01:54,Tue,Jan,5,Weekday,2016,1899-12-31T00:03:30.000Z,Morning,null,Trace TV,1899-12-31T02:03:30.000Z,None,None,Not Specified,None,0,None,Rebekah 374@abcmail.com,None
42284,1/16/2016 21:07,Sat,Jan,16,Weekday,2016,1899-12-31T00:01:39.000Z,Morning,Adult,MK,1899-12-31T02:01:39.000Z,Wilton,Bilyeu,Male,coloured,36,Northern Cape,Wilton 413@mail.com,@Wilton 41
45769,3/12/2016 11:28,Sat,Mar,12,Weekday,2016,1899-12-31T00:01:44.000Z,Morning,null,ICC Cricket World Cup 2011,1899-12-31T02:01:44.000Z,None,None,Not Specified,None,0,None,Emilie 443@mail.com,None
51888,1/8/2016 06:05,Fri,Jan,8,Weekday,2016,1899-12-31T00:00:34.000Z,Morning,Youth,Cartoon Network,1899-12-31T02:00:34.000Z,Katharina,Condie,Female,black,24,Mpumalanga,Katharina 135@mailxyz.com,@Katharina 13
56067,1/22/2016 16:02,Fri,Jan,22,Weekday,2016,1899-12-31T00:00:22.000Z,Morning,Youth,CNN,1899-12-31T02:00:22.000Z,Eli,Shkreli,Male,black,26,KwaZulu-Natal,Eli 292@gmail.com,@Eli 29
56830,1/1/2016 17:03,Fri,Jan,1,Weekday,2016,1899-12-31T00:03:16.000Z,Morning,null,CNN,1899-12-31T02:03:16.000Z,None,None,Not Specified,None,0,None,Reagan 72@gmail.com,None
58907,1/9/2016 08:01,Sat,Jan,9,Weekday,2016,1899-12-31T00:01:23.000Z,Morning,null,Cartoon Network,1899-12-31T02:01:23.000Z,None,None,Not Specified,None,0,None,Earline 283@mail.com,None
60711,1/4/2016 07:02,Mon,Jan,4,Weekday,2016,1899-12-31T00:00:30.000Z,Morning,Youth,Channel O,1899-12-31T02:00:30.000Z,Bernardo,Gettys,Male,black,22,Gauteng,Bernardo 322@gmail.com,@Bernardo 32
61198,1/11/2016 17:42,Mon,Jan,11,Weekday,2016,1899-12-31T00:00:39.000Z,Morning,null,Trace TV,1899-12-31T02:00:39.000Z,None,None,Not Specified,None,0,None,Reagan 471@yahoo.com,None
63454,1/4/2016 04:10,Mon,Jan,4,Weekday,2016,1899-12-31T00:13:20.000Z,Morning,null,CNN,1899-12-31T02:13:20.000Z,None,None,Not Specified,None,0,None,Emilie 484@abcmail.com,None
65180,1/22/2016 9:35,Fri,Jan,22,Weekday,2016,1899-12-31T00:00:17.000Z,Morning,null,Africa Magic,1899-12-31T02:00:17.000Z,None,None,Not Specified,None,0,None,Meghann 363@mail.com,None
65192,1/20/2016 0:05,Wed,Jan,20,Weekday,2016,1899-12-31T00:00:45.000Z,Morning,null,DStv Events 1,1899-12-31T02:00:45.000Z,None,None,Not Specified,None,0,None,Meghann 405@mailxyz.com,None
67073,1/4/2016 10:23,Mon,Jan,4,Weekday,2016,1899-12-31T00:00:09.000Z,Morning,null,Channel O,1899-12-31T02:00:09.000Z,None,None,Not Specified,None,0,None,Lillian 221@yahoo.com,None
67155,1/10/2016 11:37,Sun,Jan,10,Weekday,2016,1899-12-31T00:00:14.000Z,Morning,null,SuperSport Blitz,1899-12-31T02:00:14.000Z,None,None,Not Specified,None,0,None,Winona 134@abcmail.com,None
67584,1/18/2016 15:04,Mon,Jan,18,Weekday,2016,1899-12-31T00:05:58.000Z,Morning,Senior,Supersport Live Events,1899-12-31T02:05:58.000Z,Hollis,Caves,Male,white,58,Western Cape,Hollis 383@mail.com,@Hollis 38
69030,3/6/2016 13:32,Sun,Mar,6,Weekday,2016,1899-12-31T00:03:18.000Z,Morning,Adult,Supersport Live Events,1899-12-31T02:03:18.000Z,Stacy,Tancredi,Male,black,37,Free State,Stacy 275@mailxyz.com,@Stacy 27
69455,3/26/2016 16:36,Sat,Mar,26,Weekday,2016,1899-12-31T00:03:04.000Z,Morning,Adult,Supersport Live Events,1899-12-31T02:03:04.000Z,Yong,Restivo,Male,white,35,Western Cape,Yong 483@mail.com,@Yong 48
69707,3/19/2016 22:13,Sat,Mar,19,Weekday,2016,1899-12-31T00:01:50.000Z,Morning,Youth,SuperSport Blitz,1899-12-31T02:01:50.000Z,Samuel,Pascarella,Male,indian_asian,34,KwaZulu-Natal,Samuel 264@abcmail.com,@Samuel 26
69889,3/6/2016 17:54,Sun,Mar,6,Weekday,2016,1899-12-31T00:04:43.000Z,Morning,Youth,Boomerang,1899-12-31T02:04:43.000Z,Hugh,Sytsma,Male,coloured,33,Western Cape,Hugh11@yahoo.com,@Hugh1
71491,3/26/2016 7:02,Sat,Mar,26,Weekday,2016,1899-12-31T00:00:06.000Z,Morning,Youth,Trace TV,1899-12-31T02:00:06.000Z,Filiberto,Mastrangelo,Male,other,25,Gauteng,Filiberto 45@mailxyz.com,@Filiberto 4
72316,1/18/2016 17:43,Mon,Jan,18,Weekday,2016,1899-12-31T00:33:18.000Z,Morning,null,Supersport Live Events,1899-12-31T02:33:18.000Z,Teresia,Beville,Female,coloured,9,Mpumalanga,Teresia 201@yahoo.com,@Teresia 20
80147,3/26/2016 10:14,Sat,Mar,26,Weekday,2016,1899-12-31T00:00:30.000Z,Morning,null,Supersport Live Events,1899-12-31T02:00:30.000Z,None,None,Not Specified,None,0,None,Cordie 474@abcmail.com,None
82389,1/8/2016 11:33,Fri,Jan,8,Weekday,2016,1899-12-31T00:09:30.000Z,Morning,null,DStv Events 1,1899-12-31T02:09:30.000Z,None,None,Not Specified,None,0,None,Sharri 332@gmail.com,None
82694,3/30/2016 18:42,Wed,Mar,30,Weekday,2016,1899-12-31T00:01:52.000Z,Morning,null,SuperSport Blitz,1899-12-31T02:01:52.000Z,None,None,Not Specified,None,0,None,Rebecka 275@mailxyz.com,None
82780,3/26/2016 6:54,Sat,Mar,26,Weekday,2016,1899-12-31T00:10:33.000Z,Morning,null,Channel O,1899-12-31T02:10:33.000Z,None,None,Not Specified,None,0,None,Gretta 45@mailxyz.com,None
83865,1/18/2016 18:23,Mon,Jan,18,Weekday,2016,1899-12-31T00:01:24.000Z,Morning,null,kykNET,1899-12-31T02:01:24.000Z,None,None,Not Specified,None,0,None,Bess 134@abcmail.com,None
85476,1/2/2016 14:48,Sat,Jan,2,Weekday,2016,1899-12-31T00:02:06.000Z,Morning,Youth,Africa Magic,1899-12-31T02:02:06.000Z,Briana,Caves,Female,black,34,KwaZulu-Natal,Briana 402@gmail.com,@Briana 40
85945,1/2/2016 01:18,Sat,Jan,2,Weekday,2016,1899-12-31T00:25:34.000Z,Morning,Youth,E! Entertainment,1899-12-31T02:25:34.000Z,Emerson,Sytsma,Male,white,30,Gauteng,Emerson 244@abcmail.com,@Emerson 24
86003,1/8/2016 14:51,Fri,Jan,8,Weekday,2016,1899-12-31T00:00:52.000Z,Morning,Youth,Supersport Live Events,1899-12-31T02:00:52.000Z,Randy,Leicht,Male,black,30,Gauteng,Randy 392@gmail.com,@Randy 39
86582,1/26/2016 17:29,Tue,Jan,26,Weekday,2016,1899-12-31T00:37:48.000Z,Morning,Youth,Channel O,1899-12-31T02:37:48.000Z,Royal,Restivo,Male,black,25,Limpopo,Royal 174@abcmail.com,@Royal 17
87234,1/15/2016 7:44,Fri,Jan,15,Weekday,2016,1899-12-31T00:01:06.000Z,Morning,null,Channel O,1899-12-31T02:01:06.000Z,None,None,Not Specified,None,0,None,Trudie 473@mail.com,None
91694,1/22/2016 7:39,Fri,Jan,22,Weekday,2016,1899-12-31T00:00:14.000Z,Morning,Adult,Africa Magic,1899-12-31T02:00:14.000Z,Irving,Luthy,Male,coloured,41,Gauteng,Irving 52@gmail.com,@Irving 5
98046,1/13/2016 18:36,Wed,Jan,13,Weekday,2016,1899-12-31T00:02:48.000Z,Morning,Youth,Channel O,1899-12-31T02:02:48.000Z,Donald,Zweifel,Male,black,31,KwaZulu-Natal,Donald 223@mail.com,@Donald 22
99045,1/1/2016 19:24,Fri,Jan,1,Weekday,2016,1899-12-31T00:02:39.000Z,Morning,Youth,Trace TV,1899-12-31T02:02:39.000Z,Earl,Shkreli,Male,other,18,Limpopo,Earl 422@gmail.com,@Earl 42
100538,3/24/2016 14:25,Thu,Mar,24,Weekday,2016,1899-12-31T01:32:30.000Z,Morning,null,Supersport Live Events,1899-12-31T03:32:30.000Z,None,None,Not Specified,None,0,None,Epifania 75@mailxyz.com,None
102190,3/25/2016 15:40,Fri,Mar,25,Weekday,2016,1899-12-31T00:02:40.000Z,Morning,Adult,ICC Cricket World Cup 2011,1899-12-31T02:02:40.000Z,Haywood,Sieren,Male,white,42,Gauteng,Haywood 94@abcmail.com,@Haywood 9
103451,1/16/2016 15:26,Sat,Jan,16,Weekday,2016,1899-12-31T00:07:28.000Z,Morning,Youth,E! Entertainment,1899-12-31T02:07:28.000Z,Roxane,Lavoie,Female,black,27,Gauteng,Roxane 111@yahoo.com,@Roxane 11
103657,3/19/2016 17:11,Sat,Mar,19,Weekday,2016,1899-12-31T00:02:58.000Z,Morning,Youth,M-Net,1899-12-31T02:02:58.000Z,Romeo,Tatham,Male,white,24,Mpumalanga,Romeo 372@gmail.com,@Romeo 37
104516,3/26/2016 5:48,Sat,Mar,26,Weekday,2016,1899-12-31T00:01:09.000Z,Morning,null,CNN,1899-12-31T02:01:09.000Z,None,None,Not Specified,None,0,None,Felipa 325@mailxyz.com,None
115255,1/28/2016 17:53,Thu,Jan,28,Weekday,2016,1899-12-31T00:00:04.000Z,Morning,Adult,Africa Magic,1899-12-31T02:00:04.000Z,Yong,Jacox,Male,black,40,KwaZulu-Natal,Yong 481@yahoo.com,@Yong 48
115518,3/5/2016 17:41,Sat,Mar,5,Weekday,2016,1899-12-31T00:01:48.000Z,Morning,Adult,E! Entertainment,1899-12-31T02:01:48.000Z,Bret,Jacox,Male,black,36,Gauteng,Bret 315@mailxyz.com,@Bret 31
117954,3/5/2016 09:15,Sat,Mar,5,Weekday,2016,1899-12-31T00:01:00.000Z,Morning,null,ICC Cricket World Cup 2011,1899-12-31T02:01:00.000Z,None,None,Not Specified,None,0,None,Reagan 491@yahoo.com,None
119673,1/15/2016 8:13,Fri,Jan,15,Weekday,2016,1899-12-31T00:10:49.000Z,Morning,Adult,Cartoon Network,1899-12-31T02:10:49.000Z,Lillian,Borelli,Female,white,38,KwaZulu-Natal,Lillian 472@gmail.com,@Lillian 47
120169,1/8/2016 15:32,Fri,Jan,8,Weekday,2016,1899-12-31T00:01:58.000Z,Morning,Youth,Africa Magic,1899-12-31T02:01:58.000Z,Katharina,Condie,Female,black,30,Gauteng,Katharina 215@mailxyz.com,@Katharina 21
120870,1/27/2016 15:05,Wed,Jan,27,Weekday,2016,1899-12-31T00:00:07.000Z,Morning,Youth,Cartoon Network,1899-12-31T02:00:07.000Z,Earl,Jacox,Male,white,18,Mpumalanga,Earl 424@abcmail.com,@Earl 42
122451,1/20/2016 13:06,Wed,Jan,20,Weekday,2016,1899-12-31T00:00:12.000Z,Morning,null,Channel O,1899-12-31T02:00:12.000Z,None,None,Not Specified,None,0,None,Mellie 363@mail.com,None
131449,1/15/2016 15:55,Fri,Jan,15,Weekday,2016,1899-12-31T00:05:40.000Z,Morning,null,CNN,1899-12-31T02:05:40.000Z,None,None,Not Specified,None,0,None,Loris 354@abcmail.com,None
134526,1/7/2016 11:03,Thu,Jan,7,Weekday,2016,1899-12-31T00:00:01.000Z,Morning,null,Vuzu,1899-12-31T02:00:01.000Z,None,None,Not Specified,None,0,None,Bess 204@abcmail.com,None
135780,1/15/2016 17:57,Fri,Jan,15,Weekday,2016,1899-12-31T00:01:22.000Z,Morning,Middle_Aged,Supersport Live Events,1899-12-31T02:01:22.000Z,Wilburn,Bilyeu,Male,black,47,KwaZulu-Natal,Wilburn 302@gmail.com,@Wilburn 30
140005,3/1/2016 19:31,Tue,Mar,1,Weekday,2016,1899-12-31T00:00:10.000Z,Morning,Youth,Break in transmission,1899-12-31T02:00:10.000Z,Hyman,Martello,Male,coloured,29,Eastern Cape,Hyman 85@mailxyz.com,@Hyman 8
147935,1/11/2016 07:44,Mon,Jan,11,Weekday,2016,1899-12-31T00:04:22.000Z,Morning,null,Boomerang,1899-12-31T02:04:22.000Z,None,None,Not Specified,None,0,None,Eula 281@yahoo.com,None
150729,3/15/2016 9:50,Tue,Mar,15,Weekday,2016,1899-12-31T00:02:32.000Z,Morning,Youth,ICC Cricket World Cup 2011,1899-12-31T02:02:32.000Z,Wilburn,Singer,Male,white,22,Mpumalanga,Wilburn 305@mailxyz.com,@Wilburn 30
150741,1/20/2016 7:47,Wed,Jan,20,Weekday,2016,1899-12-31T00:10:21.000Z,Morning,Youth,Africa Magic,1899-12-31T02:10:21.000Z,Eula,Mccown,Female,black,22,Gauteng,Eula 294@abcmail.com,@Eula 29
152716,1/25/2016 7:26,Mon,Jan,25,Weekday,2016,1899-12-31T00:03:22.000Z,Morning,null,E! Entertainment,1899-12-31T02:03:22.000Z,None,None,Not Specified,None,0,None,Irmgard 81@yahoo.com,None
159026,3/6/2016 12:58,Sun,Mar,6,Weekday,2016,1899-12-31T00:02:10.000Z,Morning,Youth,Supersport Live Events,1899-12-31T02:02:10.000Z,Iva,Styer,Female,coloured,18,Gauteng,Iva 213@mail.com,@Iva 21
159156,3/6/2016 10:17,Sun,Mar,6,Weekday,2016,1899-12-31T00:00:21.000Z,Morning,null,Cartoon Network,1899-12-31T02:00:21.000Z,None,None,Not Specified,None,0,None,Zetta 73@mail.com,None
162361,1/11/2016 18:02,Mon,Jan,11,Weekday,2016,1899-12-31T00:02:12.000Z,Morning,Youth,M-Net,1899-12-31T02:02:12.000Z,Hugh,Caves,Male,black,33,Gauteng,Hugh15@mailxyz.com,@Hugh1
162937,1/23/2016 16:25,Sat,Jan,23,Weekday,2016,1899-12-31T00:02:50.000Z,Morning,Youth,E! Entertainment,1899-12-31T02:02:50.000Z,Brendan,Luthy,Male,white,24,Gauteng,Brendan 454@abcmail.com,@Brendan 45
163109,3/29/2016 18:13,Tue,Mar,29,Weekday,2016,1899-12-31T00:01:00.000Z,Morning,Youth,Cartoon Network,1899-12-31T02:01:00.000Z,Haywood,Lavoie,Male,None,21,Western Cape,Haywood 93@mail.com,@Haywood 9
170792,3/29/2016 3:02,Tue,Mar,29,Weekday,2016,1899-12-31T00:00:00.000Z,Morning,Youth,Channel O,1899-12-31T02:00:00.000Z,Emerson,Tancredi,Male,black,31,Gauteng,Emerson 243@mail.com,@Emerson 24
173765,1/8/2016 07:29,Fri,Jan,8,Weekday,2016,1899-12-31T00:01:03.000Z,Morning,null,Trace TV,1899-12-31T02:01:03.000Z,None,None,Not Specified,None,0,None,Tiffani 292@gmail.com,None
177269,1/9/2016 08:25,Sat,Jan,9,Weekday,2016,1899-12-31T00:03:10.000Z,Morning,null,M-Net,1899-12-31T02:03:10.000Z,None,None,Not Specified,None,0,None,Shelley 31@yahoo.com,None
178022,3/29/2016 12:51,Tue,Mar,29,Weekday,2016,1899-12-31T00:04:42.000Z,Morning,Middle_Aged,ICC Cricket World Cup 2011,1899-12-31T02:04:42.000Z,Len,Mina,Male,white,54,Mpumalanga,Len 443@mail.com,@Len 44
178813,1/15/2016 8:40,Fri,Jan,15,Weekday,2016,1899-12-31T00:01:04.000Z,Morning,Youth,Supersport Live Events,1899-12-31T02:01:04.000Z,Yong,Gettys,Male,coloured,33,Gauteng,Yong 484@abcmail.com,@Yong 48
178992,1/6/2016 20:01,Wed,Jan,6,Weekday,2016,1899-12-31T00:00:59.000Z,Morning,Youth,Cartoon Network,1899-12-31T02:00:59.000Z,Krysta,Mastrangelo,Female,indian_asian,30,Limpopo,Krysta 373@mail.com,@Krysta 37
182630,3/27/2016 21:29,Sun,Mar,27,Weekday,2016,1899-12-31T00:01:18.000Z,Morning,null,Trace TV,1899-12-31T02:01:18.000Z,None,None,Not Specified,None,0,None,Felipa 484@abcmail.com,None
183425,1/2/2016 09:57,Sat,Jan,2,Weekday,2016,1899-12-31T00:00:54.000Z,Morning,Adult,Africa Magic,1899-12-31T02:00:54.000Z,Wilburn,Jacox,Male,black,35,Mpumalanga,Wilburn 304@abcmail.com,@Wilburn 30
183982,1/26/2016 16:46,Tue,Jan,26,Weekday,2016,1899-12-31T00:00:29.000Z,Morning,Youth,Africa Magic,1899-12-31T02:00:29.000Z,Bess,Jacox,Female,black,27,Gauteng,Bess 151@yahoo.com,@Bess 15
187786,1/5/2016 14:48,Tue,Jan,5,Weekday,2016,1899-12-31T00:00:48.000Z,Morning,Adult,Supersport Live Events,1899-12-31T02:00:48.000Z,Iva,Styer,Female,white,37,KwaZulu-Natal,Iva 265@mailxyz.com,@Iva 26
189027,3/29/2016 17:17,Tue,Mar,29,Weekday,2016,1899-12-31T00:03:18.000Z,Morning,null,Trace TV,1899-12-31T02:03:18.000Z,Earl,Paradis,Male,coloured,13,Free State,Earl 422@gmail.com,@Earl 42
189392,3/29/2016 17:06,Tue,Mar,29,Weekday,2016,1899-12-31T00:01:12.000Z,Morning,null,Trace TV,1899-12-31T02:01:12.000Z,None,None,Not Specified,None,0,None,Iva 25@mailxyz.com,None
190586,1/17/2016 17:07,Sun,Jan,17,Weekday,2016,1899-12-31T00:00:17.000Z,Morning,null,Boomerang,1899-12-31T02:00:17.000Z,None,None,Not Specified,None,0,None,Lesli 111@yahoo.com,None
193886,3/30/2016 8:03,Wed,Mar,30,Weekday,2016,1899-12-31T00:00:12.000Z,Morning,null,ICC Cricket World Cup 2011,1899-12-31T02:00:12.000Z,None,None,Not Specified,None,0,None,Anette 214@abcmail.com,None
196084,1/4/2016 03:42,Mon,Jan,4,Weekday,2016,1899-12-31T00:05:52.000Z,Morning,Adult,M-Net,1899-12-31T02:05:52.000Z,Bernardo,Langenfeld,Male,coloured,43,Northern Cape,Bernardo 321@yahoo.com,@Bernardo 32
199852,1/4/2016 08:37,Mon,Jan,4,Weekday,2016,1899-12-31T00:01:33.000Z,Morning,null,kykNET,1899-12-31T02:01:33.000Z,None,None,Not Specified,None,0,None,Alecia 502@gmail.com,None
202019,3/30/2016 8:59,Wed,Mar,30,Weekday,2016,1899-12-31T00:04:16.000Z,Morning,Youth,ICC Cricket World Cup 2011,1899-12-31T02:04:16.000Z,Irving,Creager,Male,indian_asian,25,Western Cape,Irving 55@mailxyz.com,@Irving 5
206207,3/30/2016 13:18,Wed,Mar,30,Weekday,2016,1899-12-31T00:00:28.000Z,Morning,Youth,E! Entertainment,1899-12-31T02:00:28.000Z,Markus,Sieren,Male,indian_asian,27,Gauteng,Markus 191@yahoo.com,@Markus 19
210187,1/22/2016 19:52,Fri,Jan,22,Weekday,2016,1899-12-31T00:00:35.000Z,Morning,Youth,Africa Magic,1899-12-31T02:00:35.000Z,Wilburn,Lavoie,Male,black,31,North West,Wilburn 303@mail.com,@Wilburn 30
211993,2/24/2016 6:08,Wed,Feb,24,Weekday,2016,1899-12-31T00:00:23.000Z,Morning,null,CNN,1899-12-31T02:00:23.000Z,None,None,Not Specified,None,0,None,Gretta 195@mailxyz.com,None
212439,3/4/2016 23:12,Fri,Mar,4,Weekday,2016,1899-12-31T00:14:27.000Z,Morning,null,Boomerang,1899-12-31T02:14:27.000Z,None,None,Not Specified,None,0,None,Torrie 412@gmail.com,None
220052,3/25/2016 12:51,Fri,Mar,25,Weekday,2016,1899-12-31T00:16:44.000Z,Morning,Youth,Boomerang,1899-12-31T02:16:44.000Z,Emilie,Deblois,Female,white,22,Northern Cape,Emilie 444@abcmail.com,@Emilie 44
220098,3/31/2016 9:28,Thu,Mar,31,Weekday,2016,1899-12-31T00:00:40.000Z,Morning,Youth,E! Entertainment,1899-12-31T02:00:40.000Z,Romeo,Singer,Male,white,21,Eastern Cape,Romeo 373@mail.com,@Romeo 37
221281,1/27/2016 10:57,Wed,Jan,27,Weekday,2016,1899-12-31T00:00:42.000Z,Morning,null,Trace TV,1899-12-31T02:00:42.000Z,None,None,Not Specified,None,0,None,Desirae 61@yahoo.com,None
223263,1/30/2016 18:01,Sat,Jan,30,Weekday,2016,1899-12-31T00:00:17.000Z,Morning,Middle_Aged,Cartoon Network,1899-12-31T02:00:17.000Z,Hugh,Leicht,Male,white,54,Limpopo,Hugh13@mail.com,@Hugh1
229151,1/27/2016 9:34,Wed,Jan,27,Weekday,2016,1899-12-31T00:00:23.000Z,Morning,Youth,Cartoon Network,1899-12-31T02:00:23.000Z,Lane,Mcclaine,Male,black,25,Gauteng,Lane 113@mail.com,@Lane 11
233448,1/16/2016 11:42,Sat,Jan,16,Weekday,2016,1899-12-31T00:05:32.000Z,Morning,Youth,Cartoon Network,1899-12-31T02:05:32.000Z,Luanna,Hoadley,Female,coloured,30,Eastern Cape,Luanna 435@mailxyz.com,@Luanna 43
237510,1/9/2016 14:52,Sat,Jan,9,Weekday,2016,1899-12-31T00:00:44.000Z,Morning,Adult,Supersport Live Events,1899-12-31T02:00:44.000Z,Earline,Zweifel,Female,black,42,Gauteng,Earline 282@gmail.com,@Earline 28
241871,1/25/2016 15:52,Mon,Jan,25,Weekday,2016,1899-12-31T00:46:42.000Z,Morning,Adult,Trace TV,1899-12-31T02:46:42.000Z,Claud,Creager,Male,white,39,Gauteng,Claud 345@mailxyz.com,@Claud 34
243824,1/29/2016 17:53,Fri,Jan,29,Weekday,2016,1899-12-31T00:00:59.000Z,Morning,null,Africa Magic,1899-12-31T02:00:59.000Z,None,None,Not Specified,None,0,None,Desirae 232@gmail.com,None
